,chapter,context,grade,image_paths,image_urls,source,spider,url
7,Unit 1 Hello!,"Unit One Hello! I'm Zoom. Hello, Im Mike. Hi, I'm Wu yifan. Hello! Hi! My names Zip. GoodBye! Bye Miss White! Hello, Im Chen Jie. What's your name? My name's Sarah. Let's talk. Hello, I'm Miss White. Hello, Im Wu yifan. Hi, Im Sarah. Let' s play. Hi Im John. Hello, I'm Liu Xin. Let's learn. I have an eraser, I have a ruler. pencil, crayon, ruler. Lets chant. I have a, I have an Me too. Lets sing. A B C song. Aa-Bb-Cc-Dd-Ee-Ff-Gg. Hh-Ii-Jj-Kk-Ll-Mn-nn, Oo-Pp-Qq, Rr-5s-Tt, Uu-vv-Ww-Xx-Yy-Zz, Xx-Yy- Zz, now you see. I can say my ABCs。 Let's talk. Hello. I'm Mike, What's your name? My name's John. Goodbye! Bye, Miss White.Let's play. What's your name?My name's Lily. Lets learn. bag, pen, pencil box, book, Oh no! Zoom! Your bag! Let's do? Show me your pen. Open your pencil box. Close your book. Carry your bag. Start to read. Circle the same letters. Read and count. pen, pencil, pencil box, bag, book, crayon, ruler, eraser. Let's check. Listen and number. Look and match. pencil box, eraser, pencil, bag, pen, ruler, crayon, book. Let's sing. Hello, Sarah! Do, oh, do. Hello, John! Do, oh, do. Hello, Mikel Do, oh, do. Hello! Hello! Hello! Story time. Hello, Who's there?Are you Tutu?Haha, I'm Zip. Hi, Zip! My name's Zoom. Let's play! OK? Great.",3,"./images/full/xxyy_pep_spider/Uint 1 Hello!/07dd9f4d096902e4b8b23f8666244d9148127dcb.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/90d83aece90eb84aa9ccf63003a03d59ebc97192.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/9b645212e94340e97a8e8b6cfc62d193033c226b.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/7993b87a2b18c96373e1fea07b72150e687923ad.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/8425949fb1d4997103fff16c002f4e15beec5b57.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/5666ca71dd5b95564aa649a02b189ad2baf3d74c.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/398598ba00c6e6d8f1eede2b2ab5213880dc7934.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/885891fff4b3b5010a6d739bc59ff570b70872e7.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/c3b7255f254bc7606272cf70b977084c7b8f1378.jpg,./images/full/xxyy_pep_spider/Uint 1 Hello!/763d6cc5626717bd93430bd55d660bf9256b03ae.jpg","['http://www.wsbedu.com/eng/images/entu/re3111.jpg', 'http://www.wsbedu.com/eng/images/entu/re3112.jpg', 'http://www.wsbedu.com/eng/images/entu/re3113.jpg', 'http://www.wsbedu.com/eng/images/entu/re3114.jpg', 'http://www.wsbedu.com/eng/images/entu/re3115.jpg', 'http://www.wsbedu.com/eng/images/entu/re3116.jpg', 'http://www.wsbedu.com/eng/images/entu/re3117.jpg', 'http://www.wsbedu.com/eng/images/entu/re3118.jpg', 'http://www.wsbedu.com/eng/images/entu/re3119.jpg', 'http://www.wsbedu.com/eng/images/entu/re311a.jpg']",2,xxyy_pep_spider,"['http://www.wsbedu.com/wu51/keben.asp?wai=1127&page=1', 'http://www.wsbedu.com/wu51/keben.asp?wai=1127&page=2']"
6,Unit 2 Colours!,"Unit Two. Let's paint! Good afternoon, yifan. Good afternoon. Colours. Dad, this is Mr Jones. Nice to meet you. Nice to meet you, too. Let's talk. Mr Jones, this is Miss Green. Good morning Miss Green. Good morning. Draw and say. This is Miss Green. This is Mr Jones. Let's learn. I see red, I see green. Show me green. Show me blue. Show me red, Show me yellow. Letters and sounds. Listen, repeat and chant. ant, apple, book, bag, cat, crayon, dog, duck, Listen and circle, Write and say. Aa Bb Cc Dd. Lets talk. Hi. Mum, This is Wu yifan. Good afternoon Wu yifan.Good afternoon. Nice to meet you.Nice to meet you, too. Let' s play. Good afternoon Chen Jie. This is Zoom. Hello, Zoom! This is Zip. Nice to meet you. Nice to meet you, too. Lets learn.OK. Colour is brown! black, white, orange, brown. Let's do. Black, black, stand up. Orange, orange, sit down, White, white, touch the ground, Brown, brown, turn around. Start to read. Find and say. I see C, a, D. Read and tick. Red, green ,brown, yellow, blue, black, white, orange. Let's check. Listen and tick or cross. Match and colour. white, orange, black, blue, red, yellow, green. Lets sing. Colour song. Red and yellow and pink and green, Purple and orange and blue. I can sing a rainbow, sing a rainbow,Sing a rainbow now. Story time. Good morning, Zoom. Good morning Zip. How are you? Fine, thank you. Wow! Flowers! A red flower. A yellow flower. A blue flower. Zip, look! Zoom, look!",3,"./images/full/xxyy_pep_spider/Unit 2 Colours!/b8336b8370e68f88f0154e601a06ca037db702df.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/c2dea0927887710dc6a96f9431c1d23641d85e12.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/07328d50a9482bd863f69b5705ff144dfe1dc16b.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/6572b0b27551a99b2a7f42c8aea61846322f7f89.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/82c33da4ed03803381928bb301dfc5d0e1340c3f.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/4eb8f0d38ae2c8ea241ba107326b1dfb76ed5441.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/a7490a602c4d6be1fce2fd84d27b7eeab24107aa.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/21b9aef2344e5ec6e485729d064dd74d11c7299e.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/eb83963660384672ba4090010ec0804734dc4693.jpg,./images/full/xxyy_pep_spider/Unit 2 Colours!/ae16826e78d94e7087ed4b7e27be52a431fde6e7.jpg","['http://www.wsbedu.com/eng/images/entu/re3121.jpg', 'http://www.wsbedu.com/eng/images/entu/re3122.jpg', 'http://www.wsbedu.com/eng/images/entu/re3123.jpg', 'http://www.wsbedu.com/eng/images/entu/re3124.jpg', 'http://www.wsbedu.com/eng/images/entu/re3125.jpg', 'http://www.wsbedu.com/eng/images/entu/re3126.jpg', 'http://www.wsbedu.com/eng/images/entu/re3127.jpg', 'http://www.wsbedu.com/eng/images/entu/re3128.jpg', 'http://www.wsbedu.com/eng/images/entu/re3129.jpg', 'http://www.wsbedu.com/eng/images/entu/re312a.jpg']",2,xxyy_pep_spider,"['http://www.wsbedu.com/wu51/keben.asp?wai=1128&page=1', 'http://www.wsbedu.com/wu51/keben.asp?wai=1128&page=2']"
5,Unit 3 Look at me!,"Unit Three. Let's play! How are you? I'm fine, thank you. Look at me! OK. Look at my nose! How are you? Very well, thanks. Let's talk. Good morning. Good morning. How are you? I'm fine, thank you. Lets go to school! Let's play. Hello! Hello!How are you? Let's learn Look at me, This is my face. ear. eye. nose. mouth. Let's do.Close your eyes. Open your mouth. Touch your nose. Touch your ear. Touch your face. Letters and sounds. Listen, repeat and chant. egg. elephant. face. foot. green. gift. hand. hi. ice cream. ice. Listen and cycle. Write and say. Ee Ff Gg Hh. Let's talk. Hi. Mike! How are you? Very well, thanks. Lets make a puppet. Great. Let's play. Hi, John! How are you? I'm fine. thank you. Hi, Mike! How are you? Im fine. Very well. thanks. Let's learn. This is the arm. This is the leg. hand. head. body. leg. foot. Lets do. Clap your hands. Touch your head. Wave your arms. shake your legs. shake your body. stamp your foot. Start to read. Find and say. I see E i. Read and count. body, hand, nose, ear, mouth, leg, nose, leg, hand, mouth, body, ear, foot, arm. eye, mouth, body. Let's check. Listen and number. Look and match. Let' s sing. Head and shoulders, knees and toes. Head and shoulders, knees and toes, knees and toes. Head and shoulders, knees and toes, knees and toes. Eyes and ears and mouth and nose. Head and shoulders, knees and toes. knees and toes. Story time. Let's make a Puppeet. Good idea. First make the head. Then, make the body. Look! An arm and a leg. Let's play with the pupper. Goodbye.",3,"./images/full/xxyy_pep_spider/Unit 3 Look at me!/0dcdf753796e62b33faf82035606850dfd5a73ba.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/55919a6e93180d6356ada0a2dd118f39d4ef8309.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/bccc9a3ac0edcbcd4b8317e76fef08b618cab8de.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/742d85d22d84b373703e5a38e44b1bc81f44048e.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/735092a84c8dc25465f9bb36ca613e69b3ee8669.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/9d7b3472b85f6bb921664ac47db10583bf635063.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/ef1dca567c688f4023f92072c0b28f77713b665c.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/04a39e3733a561dde553abb4015e8058f0f2e953.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/fc784b414bd0575862a71ca3bb40aab9b8917ded.jpg,./images/full/xxyy_pep_spider/Unit 3 Look at me!/9c474885f3aeebde7f48f4a8c9f074b3658c1b9f.jpg","['http://www.wsbedu.com/eng/images/entu/re3131.jpg', 'http://www.wsbedu.com/eng/images/entu/re3132.jpg', 'http://www.wsbedu.com/eng/images/entu/re3133.jpg', 'http://www.wsbedu.com/eng/images/entu/re3134.jpg', 'http://www.wsbedu.com/eng/images/entu/re3135.jpg', 'http://www.wsbedu.com/eng/images/entu/re3136.jpg', 'http://www.wsbedu.com/eng/images/entu/re3137.jpg', 'http://www.wsbedu.com/eng/images/entu/re3138.jpg', 'http://www.wsbedu.com/eng/images/entu/re3139.jpg', 'http://www.wsbedu.com/eng/images/entu/re313a.jpg']",2,xxyy_pep_spider,"['http://www.wsbedu.com/wu51/keben.asp?wai=1129&page=1', 'http://www.wsbedu.com/wu51/keben.asp?wai=1129&page=2']"
0,Recycle 1,"Recycle 1. Read aloud. Morning. Good morning, I'm Chen Jie. This is Sarah. My name's Zip. I'm Zoom. White hands? Brown arms? Hello! Look! Zoom and Zip! Hey! Bye! Can you act it out? Listen and colour. Look and tick. a yellow body. a red body. blue arms. brown arms. a red mouth. a white mouth. orange eyes. black eyes. Go up the ladders. Go down the snakes. Match, write and read aloud. Sing a song. How are you? Hello, Mike. Hello, Chen Jie. Hello, hello! How are you? This is Mary. This is Willy. Nice to meet you. How are you? I'm fine. I'm fine. Thank you. thank you very much. I'm fine. I'm fine. Thank you, thank you very much.",3,"./images/full/xxyy_pep_spider/Recycle 1/74706103d8b8572ee6886ce73e19a34c301e70f7.jpg,./images/full/xxyy_pep_spider/Recycle 1/abe1760feeb15653d5654bb87bd957312dfc1422.jpg,./images/full/xxyy_pep_spider/Recycle 1/f2768c6b2e83d3e74627a3837126c640fd9dd869.jpg,./images/full/xxyy_pep_spider/Recycle 1/58449ef1cc3cb52fd577a6a3879f0fd0ceb2ff46.jpg","['http://www.wsbedu.com/eng/images/entu/re3141.jpg', 'http://www.wsbedu.com/eng/images/entu/re3142.jpg', 'http://www.wsbedu.com/eng/images/entu/re3143.jpg', 'http://www.wsbedu.com/eng/images/entu/re3144.jpg']",2,xxyy_pep_spider,['http://www.wsbedu.com/wu51/keben.asp?wai=1130&page=1']
10,Unit 4 We love animals,"Unit Four. Look, a panda! What's that? It's an elephant. Cool! I like it. We love animals. What's this? It's a bear. Look, ZOom! Let's talk. What's this? It's a duck. What's this? It's a dog. Shat's this? Oh, no! It's a bear! Oh, it's Zoom! What's this? It's a duck. What's this? It's a dog. let's learn. pig, bear, cat, duck, dog, it's a duck. it's a dog. Let's chant. Look at the cat. It is fat. Look at the pig. It is big. Look at the dog. It's on the log. Look at the duck, It's in the truck. Look at the bear. It's on the pear. Letters and sounds. Listen, repeat and chant. jeep, jump kite kate leg long mum milk nose noodles. Write and say. Jj Kk Ll Mm Nn. Let's talk. What's that? A bear? No! It's a panda. Look! A funny dog! Cool! I like it. What's that? Guess! It's a panda. I like it. Thanks. Lets learn. What's that? It's a tiger! zoo, bird, panda, tiger, elephant, monkey. Let's do. Act like an elephant. act like a bird. Act like a monkey. Act like a tiger. Act like a panda. Start to read. Find and say. I see K, j. Read and count. elephant, cat, bird, dog, pig, monkey, . Let's check. Listen and number. Look and match. pig, tiger, bear, dog, elephant, duck, bird. Let's sing. Old MacDonald. Lod MacDonald had a farm. E-I-E-I-O. And on that farm he had some ducks, E-I-E-I-O. With a quack quack here and a quack quack there. Here a quack, there a quack, everywhere a quack quack. Old MacDonald had a farm, E-I-E-I-O. Story time. Hello, Pig! Follow me! Hello, Dog! Follow Pig. Follow me! Hello, Duck! Follow Zoom. Follow Pig. Follow me. Hello, Rabbit! Follow Zoom. Follow Pig. Follow Dog. Follow me! I have a carrot, Follow me! Follow Zip! Follow me!",3,"./images/full/xxyy_pep_spider/Unit 4 We love animals/a28c0ee388a9c2b33e000c14c10475e6bcb38ee3.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/a3d97fd2550153209e8b9852a469493107a4b3f2.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/0500d813183961b394cb7d14d57ac2b65e977897.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/19478c222efe60f634b33e06d90d5f651633c1a1.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/adec73e2c09abc05b104e8a09860a6f2319f0a1e.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/1ff552bd7294a1aa94541de39ae68c25ab7536ee.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/141068190591ae4c5288a938a696acd104048bae.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/61542cf282baf74d05879f075b26f41fbae8a261.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/6a6ff1accf3317ca13a7fe57a38bf74d3ffa908d.jpg,./images/full/xxyy_pep_spider/Unit 4 We love animals/ce95c2f6e45202e88a9fda9ad41ec59d7de01a0d.jpg","['http://www.wsbedu.com/eng/images/entu/re3151.jpg', 'http://www.wsbedu.com/eng/images/entu/re3152.jpg', 'http://www.wsbedu.com/eng/images/entu/re3153.jpg', 'http://www.wsbedu.com/eng/images/entu/re3154.jpg', 'http://www.wsbedu.com/eng/images/entu/re3155.jpg', 'http://www.wsbedu.com/eng/images/entu/re3156.jpg', 'http://www.wsbedu.com/eng/images/entu/re3157.jpg', 'http://www.wsbedu.com/eng/images/entu/re3158.jpg', 'http://www.wsbedu.com/eng/images/entu/re3159.jpg', 'http://www.wsbedu.com/eng/images/entu/re315a.jpg']",2,xxyy_pep_spider,"['http://www.wsbedu.com/wu51/keben.asp?wai=1131&page=1', 'http://www.wsbedu.com/wu51/keben.asp?wai=1131&page=2']"
13,Unit 5 Let's eat!,"Unit Five. I'd like some bread, please. Can I have some milk? Here you are. Thanks. you're welcome. Have some cake. Let's eat! Here you are. Thank you. Let' s talk. I'd like some juice, please. Thanks. Here you are. Have some bread, too. Let's play. I'd like some bread. I'd like some bread and eggs. I'd like some bread, eggs and juice. let's learn. Mum, I'm hungry! Have some bread. juice, egg, milk, bread. Let's do? Have some eggs. Have some juice. Eat some bread. Drink some milk. Letters and sounds. Listen, repeat and chant. orange, on, pig, pen, queen, quiet, rice, red, six, Sarah, tiger, ten. Listen and circle. Oo Pp Qq Rr Ss Tt. Let's talk. Can I have some water, please? Thank you. Here you are. you're welcome. Let's play. Can I have some juice, please? Here you are. Have some milk. Thank you. Let's learn. Can I have some water, please?Here you are. cake, fish, rice. Let's do? Drink some water. Eat some fish. Eat some rice. Cut the cake. Start to read. Find and say. I see R, t. Read and count. milk, juice, juice water, water, egg, rice, cake, fish, rice, fish, cake, bread, fish, cake . Let's check. Listen and tick. Look and match. egg. milk, fish, bread, cake, rice, juice, water. Let's sing. Let's have a picnic today. Let's have some cake today, Let's have some cake today, Let's have some cake today, on such a lovely day. Let's have some milk today. Let's have some milk today. Let's have some milk today, on such a lovely day. Story time. I'd like some fish, please. Here you are. I'd like some rice, please. sure. Can I have some coke, please? Here you are. Can I have some ice cream, please? Oh, no! My fish! Here you are.",3,"./images/full/xxyy_pep_spider/Unit 5 Let's eat !/f42d2fd6aae86ab43e7406b834f299735256ce4f.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/1d6c4f3fe1841f2a62fbe1a23edf8db691a778e2.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/f89b29667cd1590135edee0853b69699641ab9a6.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/c2e282803d0e813de72a4ba53d31ac23aa1e813d.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/1d8a33e012de3f99788a14119f8b707e791ea24c.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/f4a90442df8460d2a851f5ac33832b562127e71e.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/037cd3433d3f59c1fb668031a78eadbe15d33e73.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/775749ac1694d38eb7016f36545002a10fd7bdb2.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/6d2198405ac1a7c44e89cc597117b92c42f0a9a9.jpg,./images/full/xxyy_pep_spider/Unit 5 Let's eat !/b747486f30289f2305ef5d32306fad9c6e1f05e7.jpg","['http://www.wsbedu.com/eng/images/entu/re3161.jpg', 'http://www.wsbedu.com/eng/images/entu/re3162.jpg', 'http://www.wsbedu.com/eng/images/entu/re3163.jpg', 'http://www.wsbedu.com/eng/images/entu/re3164.jpg', 'http://www.wsbedu.com/eng/images/entu/re3165.jpg', 'http://www.wsbedu.com/eng/images/entu/re3166.jpg', 'http://www.wsbedu.com/eng/images/entu/re3167.jpg', 'http://www.wsbedu.com/eng/images/entu/re3168.jpg', 'http://www.wsbedu.com/eng/images/entu/re3169.jpg', 'http://www.wsbedu.com/eng/images/entu/re316a.jpg']",2,xxyy_pep_spider,"['http://www.wsbedu.com/wu51/keben.asp?wai=1132&page=1', 'http://www.wsbedu.com/wu51/keben.asp?wai=1132&page=2']"
11,Unit 6 Happy birthday!,"Unit Six. How old are you?Im six. Happy birthday! Lets talk. This one, please. Sure. How many plates? Five. OK. Here you are. Count and say. How many. Let's learn let's chant, Jump! Jump! Jump! One, two, three. Jump! Jump! Jump! Three, two, one! Four and five! Four and five! Jump up high! Jump up high! Five! Four! Three, two, one, Jump! It's so fun. Letters and sounds. Listen, repeat and chant. umbrella, under, vet, vest, wet, water, box, fox, yellow, yo-yo, zoo, zip. Uu Vv Ww Xx Yy Zz. Let's talk.John, this is my brother, Sam. Happy birthday! Thank you!  How old are you? I'm six years old. Let's play. What's your name? I'm Jin Bao. How old are you? I'm four years old. Let's learn. LiLi, Tom, Kate, Lu Yao, Lucy, I'm six years old. six, seven, eight, nine, ten. Let's do. show me six. show me seven. show me eight. show me nine. show me ten. Start to read. Find and say. I see V. Find, tick and match. one, two, three, four, five, six, seven, eight, nine, ten.Let's check. Listen and tick or cross. Look and circle. monkeys: five, six. Pencils: nine, ten. rulers: eight, nine. eggs: six, seven. Let's sing. Ten little candles. One little, two little, three little candles. four little, five little, six little candles. Seven little, eight little, nine little candles, Ten little candles dancing. Stroy time.Shh! there's Zoom! I have two gifts. Surprise! Happy birthday! Thank you. Let's eat the cake! I see so many candles. you are old.",3,"./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/6ece7c002836f2376ca74674d434b9705196551b.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/71162bfc6239b6d17e4278983efd3d9385389c68.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/3860e06a3abc3dcbce1647c1a6600bf9c451b458.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/43721b07dfbf5ba32638fa919cead3fdd88f0ba9.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/8ebc4ce1ceca6d1b4fafcc19bf64332dad97d41e.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/743c0a0521aeb35fd36ff18d0623570247b61b17.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/b52c546091535d34cecc3d6b29bb11074dc7f787.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/525e5c4ca99f5a90d53b382f073e454b43e75235.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/c74ec6171da36c4d38e53700dac04bc57ea26f15.jpg,./images/full/xxyy_pep_spider/Unit 6 Happy birthday!/e56d4e6b0945d2b68a04af13c9c8c5725d7d9a9f.jpg","['http://www.wsbedu.com/eng/images/entu/re3171.jpg', 'http://www.wsbedu.com/eng/images/entu/re3172.jpg', 'http://www.wsbedu.com/eng/images/entu/re3173.jpg', 'http://www.wsbedu.com/eng/images/entu/re3174.jpg', 'http://www.wsbedu.com/eng/images/entu/re3175.jpg', 'http://www.wsbedu.com/eng/images/entu/re3176.jpg', 'http://www.wsbedu.com/eng/images/entu/re3177.jpg', 'http://www.wsbedu.com/eng/images/entu/re3178.jpg', 'http://www.wsbedu.com/eng/images/entu/re3179.jpg', 'http://www.wsbedu.com/eng/images/entu/re317a.jpg']",2,xxyy_pep_spider,"['http://www.wsbedu.com/wu51/keben.asp?wai=1133&page=1', 'http://www.wsbedu.com/wu51/keben.asp?wai=1133&page=2']"
2,Recycle 2,"Recycle 2. Read aloud. Baby, have some water. No, thanks. Can I have some bread, please? OK, wait a minute. Morning! What's your name? I'm Tom. You are a big boy! How old are you? Bobby. I'm 2. Look at your head. I like it! Thank you. Look at your face. I like it! Thanks. Hey cat! Go away! Look at your body. I like it! Can you act it out?Go up the ladders. Go down the snakes. Fill in the blanks. Sing a song.",3,"./images/full/xxyy_pep_spider/Recucle 2/194be457338505d638dffc95582a147552be312f.jpg,./images/full/xxyy_pep_spider/Recucle 2/7df75dce78a1f2174fb0c129d21b0a15636a98ff.jpg,./images/full/xxyy_pep_spider/Recucle 2/6906bbbc04524018b86d7ef1fcdf00503502598f.jpg","['http://www.wsbedu.com/eng/images/entu/re3181.jpg', 'http://www.wsbedu.com/eng/images/entu/re3182.jpg', 'http://www.wsbedu.com/eng/images/entu/re3183.jpg', 'http://www.wsbedu.com/eng/images/entu/re3184.jpg']",2,xxyy_pep_spider,['http://www.wsbedu.com/wu51/keben.asp?wai=1134&page=1']

37,Unit 1 Welcome back to school!,"Unit One. Welcome. Wu yifan, this is Amy. Hi! Nice to meet you. Where are you from? I'm from the UK. Welcome! Welcome back! Nice to see you again. Nice to see you, too. Let's talk. Boys and girls,we have two new friends today. Hi, Im Amy. I'm from the UK. Hi, Im Zhang Peng. I'm from Shandong. Welcome! Look and say. Hi, Im Mik. I'm from Canada. What about you? Hi. Im Sarah. I'm from the USA. let's learn. UK, Canada, USA, China. Hi, I'm Amy. I'm from the UK. Let's chant. We are friends. We like to play. We are fiends. We like to play. A boy from Canada. A girl from the UK. Friends from China and the USA. Let's spell. listen, repeat and chant. cat, bag, dad, hand. Read, listen and circle. cat, bag, bag, dad, Canada, Panada, hand, dad. Listen and write. listen and circle. Let's talk. Mr Jones, this is Amy. she's a new student. Hi, Amy. Hi. Mr Jones. Where are you from? Im from the UK. Look and say. China, USA, Australia, Hi, I'm from China,Where are you from? Let's learn. she, student, teacher, pupil, he, This is Mr Jones, He's a teacher.This is Amy, She's a student. Let's chant. He and she. He and she, Boy and girl. you and me! He and she. He and she, Teacher and students. One, thw, three! Start to read. Read and tick. My name's Mike. I'm from Canada. He's from Canada. This is John. He's my friend. She's my friend. This is Miss White. He's a teacher. She's a teacher. This is Zhang Peng. He's a student. She's a student. Talk about your teacher and your friend. Let's check. Listen and number. Look and match. boy, girl, he, she, teacher, student, Let's sing. Boy and girl. I am a boy and you are a girl. I am a boy and you are a girl. I am a boy and you are a girl. Do you want to be my friend? Story time. Let's play a game! OK! Let's play teacher and student. I'm big. I'm the teacher! I'm the teacher! I'm clever. I'm the teacher! No! I'm the teacher! wait a minute. Can you read this? I am the student. Sure, I am the student. Haha! You see? I am a teacher! Oh, no!",3,"./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/6f465d939e4546a9ca8f86f0f8eb4b138fc95cb7.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/0e7023c7379f86864335c4441c4ff0f13a96149a.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/6885052dc1118055c55187c19cd2e624041110e3.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/f431586c801792515fff9025c385c754a0809c88.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/d7de5ca530c913ca9240126bacf066f9977122cc.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/b5c201f8e58f4b964ccb6bf6e659b34846759bd3.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/99f366974f671630cdf9776cc09a782acaf6644c.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/af713cf706fd6a9a96d69fb7dc9a5ebcd89a8c90.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/32637c970f6fcaae4f15807a9d31fc836ffb8231.jpg,./images/full/xxyy_pep_spider/Unit 1 Welcome back to school!/83413b5eb6b78db8c987f83a0192e4c26139bb33.jpg","['http://www.wsbedu.com/xiaox/en/entu/re3211.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3212.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3213.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3214.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3215.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3216.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3217.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3218.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re3219.jpg', 'http://www.wsbedu.com/xiaox/en/entu/re321a.jpg']",2,xxyy_pep_spider,"['http://www.wsbedu.com/wu51/keben.asp?wai=541&page=1', 'http://www.wsbedu.com/wu51/keben.asp?wai=541&page=2']"
